Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,32.578499,33.353500,32.577499,32.913502,32.913502,58382000
2015-07-28,33.088001,33.205002,32.670502,32.983002,32.983002,34364000
2015-07-29,33.112999,33.166500,32.641998,33.071499,33.071499,36756000
2015-07-30,32.872002,33.402500,32.584499,33.228001,33.228001,39606000
2015-07-31,33.235001,33.250000,32.860001,32.875000,32.875000,34922000
2015-08-03,32.882999,33.333500,32.882999,33.236000,33.236000,31348000
2015-08-04,33.216999,33.400002,33.025501,33.063999,33.063999,26188000
2015-08-05,33.287498,33.995499,33.278999,33.664501,33.664501,36448000
2015-08-06,33.699501,33.737499,33.036499,33.507500,33.507500,40660000
2015-08-07,33.389000,33.439999,32.943501,33.219501,33.219501,27544000
2015-08-10,33.354500,33.581001,33.011501,33.157001,33.157001,34458000
2015-08-11,34.979000,35.200001,34.216000,34.514999,34.514999,109880000
2015-08-12,34.724499,34.799999,34.025501,34.573502,34.573502,58498000
2015-08-13,34.459999,34.701500,34.109001,34.325500,34.325500,36354000
2015-08-14,34.202000,34.612999,34.145000,34.468498,34.468498,27598000
2015-08-17,34.402000,34.737000,34.153000,34.705502,34.705502,24680000
2015-08-18,34.553501,34.787998,34.265999,34.436501,34.436501,27710000
2015-08-19,34.505501,35.009998,34.340000,34.702000,34.702000,50194000
2015-08-20,34.455002,34.807999,33.764000,33.973999,33.973999,57798000
2015-08-21,33.551998,33.644501,32.154999,32.201500,32.201500,91880000
2015-08-24,30.030001,31.384001,29.654499,30.905500,30.905500,129788000
2015-08-25,32.323502,32.349998,30.583500,30.623501,30.623501,71430000
2015-08-26,32.154999,33.124001,31.518499,32.987000,32.987000,87740000
2015-08-27,33.599499,33.699001,32.555000,33.397999,33.397999,58974000
2015-08-28,33.287998,33.349998,32.687500,32.984501,32.984501,38836000
2015-08-31,32.716999,33.220501,32.317501,32.390999,32.390999,38936000
2015-09-01,31.690500,32.222000,31.253000,31.478001,31.478001,51458000
2015-09-02,31.900000,32.252998,31.532000,32.245499,32.245499,37630000
2015-09-03,32.396500,32.562500,31.690500,31.852501,31.852501,34572000
2015-09-04,31.485001,31.725000,31.325001,31.448000,31.448000,40478000
2015-09-08,32.049999,32.251999,31.645000,32.194000,32.194000,39092000
2015-09-09,32.594002,32.868000,32.044998,32.170502,32.170502,40978000
2015-09-10,32.195000,32.744999,32.084999,32.554001,32.554001,27850000
2015-09-11,32.510502,32.765499,32.370499,32.764999,32.764999,34892000
2015-09-14,32.781502,32.796001,32.474998,32.623501,32.623501,29942000
2015-09-15,32.835499,33.442501,32.667000,33.253502,33.253502,35546000
2015-09-16,33.277500,33.403500,33.110001,33.276001,33.276001,26252000
2015-09-17,33.374500,34.099499,33.250000,33.583500,33.583500,47752000
2015-09-18,33.252998,33.492001,33.001499,33.046001,33.046001,72544000
2015-09-21,33.275501,33.450001,32.900002,33.348999,33.348999,39094000
2015-09-22,32.873501,32.941002,32.251499,32.660000,32.660000,54362000
2015-09-23,32.645000,33.014000,32.536499,32.664501,32.664501,29160000
2015-09-24,32.448502,32.838501,32.108501,32.745499,32.745499,38692000
2015-09-25,32.929001,32.929001,31.983000,32.007500,32.007500,48480000
2015-09-28,31.952499,32.142502,30.892000,31.212500,31.212500,47646000
2015-09-29,31.275000,31.733999,30.901501,31.130501,31.130501,42130000
2015-09-30,31.591499,31.965500,31.457500,31.918501,31.918501,52954000
2015-10-01,31.896999,32.192001,31.556000,32.099998,32.099998,42506000
2015-10-02,31.900499,32.849998,31.674999,32.849499,32.849499,48788000
2015-10-05,33.080002,33.651501,32.793499,33.584000,33.584000,37960000
2015-10-06,33.467499,33.939999,33.153999,33.582001,33.582001,42774000
2015-10-07,33.869999,33.937000,32.905499,33.500000,33.500000,44354000
2015-10-08,33.472500,33.594501,32.724499,33.349998,33.349998,39308000
2015-10-09,33.374500,33.704498,33.118000,33.562000,33.562000,32124000
2015-10-12,33.459499,33.898998,33.362000,33.821499,33.821499,26684000
2015-10-13,33.713001,34.423000,33.655499,34.158501,34.158501,42446000
2015-10-14,34.186501,34.501999,33.945000,34.020500,34.020500,31292000
2015-10-15,34.262501,34.708000,34.219501,34.651001,34.651001,47156000
2015-10-16,34.770000,34.811001,34.455002,34.765999,34.765999,36316000
2015-10-19,34.700001,35.012001,34.610500,34.997501,34.997501,30172000
2015-10-20,34.894501,34.900002,33.683998,34.000000,34.000000,52434000
2015-10-21,34.160500,34.244999,33.535000,33.590000,33.590000,31952000
2015-10-22,33.771999,34.402500,33.584999,34.056999,34.056999,88632000
2015-10-23,37.502998,37.625000,35.896999,35.966499,35.966499,126726000
2015-10-26,36.000999,36.747501,36.000999,36.556000,36.556000,48776000
2015-10-27,36.328499,36.798000,36.207001,36.640999,36.640999,38778000
2015-10-28,36.650002,36.868500,36.363499,36.846001,36.846001,39604000
2015-10-29,36.831501,37.339500,36.757999,37.242500,37.242500,36520000
2015-10-30,37.278000,37.315498,36.826500,36.869499,36.869499,39984000
2015-11-02,36.726501,37.409000,36.572498,37.387001,37.387001,39914000
2015-11-03,37.271500,37.584999,37.057999,37.441002,37.441002,36306000
2015-11-04,37.494999,37.994999,37.459999,37.765499,37.765499,41840000
2015-11-05,37.940498,38.317501,37.873501,38.033501,38.033501,45486000
2015-11-06,37.969501,38.151001,37.751499,38.080002,38.080002,33544000
2015-11-09,37.925999,38.165001,37.455502,37.738499,37.738499,35538000
2015-11-10,37.674000,38.029999,37.420502,37.912998,37.912998,29798000
2015-11-11,38.118999,38.453999,37.987499,38.262501,38.262501,41866000
2015-11-12,38.008999,38.290001,37.792999,37.826500,37.826500,35452000
2015-11-13,37.702000,37.766499,36.973499,37.003502,37.003502,48188000
2015-11-16,37.010502,37.585499,36.716499,37.521000,37.521000,50704000
2015-11-17,37.623501,37.747501,37.202499,37.299000,37.299000,38864000
2015-11-18,37.478500,38.055000,37.369499,38.000500,38.000500,36266000
2015-11-19,37.988998,38.161499,37.861500,37.997002,37.997002,28078000
2015-11-20,38.465000,38.966000,38.205002,38.849998,38.849998,55478000
2015-11-23,38.873501,39.145000,38.675499,38.834999,38.834999,34648000
2015-11-24,38.647999,38.799500,37.905499,38.481499,38.481499,47880000
2015-11-25,38.584499,38.650002,38.326500,38.463001,38.463001,23612000
2015-11-27,38.458000,38.700001,38.349998,38.598499,38.598499,14434000
2015-11-30,38.593498,38.751499,38.056000,38.142502,38.142502,33586000
2015-12-01,38.347000,39.250000,38.297501,39.189499,39.189499,40398000
2015-12-02,39.262501,39.652500,38.821499,38.892502,38.892502,46876000
2015-12-03,39.028000,39.223999,38.122501,38.410000,38.410000,41950000
2015-12-04,38.485500,39.120998,38.275501,38.960499,38.960499,49800000
2015-12-07,39.002998,39.049999,38.335999,38.649502,38.649502,36626000
2015-12-08,38.224998,38.932499,38.125999,38.757000,38.757000,31082000
2015-12-09,38.555000,38.804501,37.600498,38.127499,38.127499,46550000
2015-12-10,38.179501,38.303501,37.750000,38.001999,38.001999,32458000
2015-12-11,37.450001,37.872002,37.432499,37.521000,37.521000,43184000
2015-12-14,37.563000,38.207500,36.813000,38.126999,38.126999,53864000
2015-12-15,38.389500,38.737499,37.900002,38.004501,38.004501,49386000
2015-12-16,38.328499,39.075001,37.852501,38.829498,38.829498,53120000
2015-12-17,39.057999,39.079498,38.465000,38.491501,38.491501,36510000
2015-12-18,38.361500,38.707001,37.829498,37.842499,37.842499,67794000
2015-12-21,38.152500,38.317501,37.707500,38.040001,38.040001,34848000
2015-12-22,38.213501,38.516998,38.060001,38.356499,38.356499,36338000
2015-12-23,38.534500,38.595001,37.882500,38.425499,38.425499,30594000
2015-12-24,38.425999,38.459999,38.219501,38.292000,38.292000,10412000
2015-12-28,38.500000,39.140999,38.386501,39.112000,39.112000,31156000
2015-12-29,39.349499,39.934502,39.310001,39.698002,39.698002,38430000
2015-12-30,39.698002,39.823002,39.360001,39.514999,39.514999,28566000
2015-12-31,39.390999,39.416500,38.866001,38.900501,38.900501,32752000
2016-01-04,38.110001,38.110001,37.376999,37.972000,37.972000,67382000
2016-01-05,38.205002,38.459999,37.782501,38.076500,38.076500,45216000
2016-01-06,37.518501,38.286499,37.400002,37.966499,37.966499,48206000
2016-01-07,37.324501,37.765499,36.764000,37.049999,37.049999,63132000
2016-01-08,37.389999,37.506001,36.445999,36.545502,36.545502,47506000
2016-01-11,36.597500,36.754002,35.978001,36.653500,36.653500,50896000
2016-01-12,37.037498,37.417000,36.821499,37.266998,37.266998,46816000
2016-01-13,37.466999,37.650002,35.839001,35.978500,35.978500,51728000
2016-01-14,36.222000,36.994499,35.250000,36.569500,36.569500,55558000
2016-01-15,35.499500,36.208000,35.075500,35.524502,35.524502,76676000
2016-01-19,36.007500,36.267502,35.492500,35.953999,35.953999,48724000
2016-01-20,35.294998,36.347500,34.389000,35.928001,35.928001,82440000
2016-01-21,36.008499,36.883499,35.555500,36.333500,36.333500,51938000
2016-01-22,37.099998,37.428001,37.025002,37.272999,37.272999,47146000
2016-01-25,37.192001,37.623001,36.625000,36.681000,36.681000,45340000
2016-01-26,36.760502,36.973000,36.348499,36.689499,36.689499,30940000
2016-01-27,36.794498,36.794498,35.672501,35.879002,35.879002,42428000
2016-01-28,36.909500,37.557999,36.529999,37.415001,37.415001,62104000
2016-01-29,37.448002,38.255501,37.209999,38.067501,38.067501,75808000
2016-02-01,38.563000,38.879501,38.069000,38.538502,38.538502,111522000
2016-02-02,40.025002,40.517502,39.029999,39.045502,39.045502,135846000
2016-02-03,39.313999,39.571499,36.813000,37.469002,37.469002,131114000
2016-02-04,37.229500,37.262001,36.130001,36.501499,36.501499,104922000
2016-02-05,36.275002,36.335999,35.007000,35.188000,35.188000,109556000
2016-02-08,34.383999,35.226002,34.100498,35.208000,35.208000,89410000
2016-02-09,34.647499,36.048000,34.424999,35.050999,35.050999,84300000
2016-02-10,35.589500,36.160999,35.269501,35.342499,35.342499,60314000
2016-02-11,34.817001,35.616001,34.559502,35.318001,35.318001,65004000
2016-02-12,35.610500,35.799999,35.078999,35.344501,35.344501,46538000
2016-02-16,35.932499,36.144001,35.508999,35.882000,35.882000,43444000
2016-02-17,36.349998,36.688000,35.830502,36.598499,36.598499,49154000
2016-02-18,36.698002,36.799999,35.777500,35.875500,35.875500,47276000
2016-02-19,35.794998,36.201500,35.655998,36.105499,36.105499,34918000
2016-02-22,36.475498,36.742500,36.172501,36.452499,36.452499,37516000
2016-02-23,36.305000,36.544998,35.783501,35.864498,35.864498,41332000
2016-02-24,35.530499,36.061001,35.101002,36.044998,36.044998,37092000
2016-02-25,36.146500,36.475498,35.661499,36.456001,36.456001,36146000
2016-02-26,36.680000,36.807999,36.097000,36.243000,36.243000,42474000
2016-02-29,36.049999,36.529999,35.841999,35.861000,35.861000,45068000
2016-03-01,36.064999,37.116501,35.931999,37.108501,37.108501,60112000
2016-03-02,37.143501,37.155998,36.662498,36.973999,36.973999,36292000
2016-03-03,36.973999,37.049999,36.481499,36.579498,36.579498,40534000
2016-03-04,36.740002,36.750000,36.280998,36.511002,36.511002,48516000
2016-03-07,36.257500,36.360500,35.257000,35.639999,35.639999,61690000
2016-03-08,35.419498,36.112499,35.200001,35.676498,35.676498,52530000
2016-03-09,35.758499,36.312000,35.632999,36.270500,36.270500,39544000
2016-03-10,36.389500,36.827000,36.164501,36.608501,36.608501,44616000
2016-03-11,36.997501,37.244999,36.834999,37.243500,37.243500,35380000
2016-03-14,37.248501,37.713001,37.182999,37.512001,37.512001,32824000
2016-03-15,37.300999,37.650501,37.141998,37.528500,37.528500,29832000
2016-03-16,37.452499,37.950001,37.325001,37.868000,37.868000,29306000
2016-03-17,37.882500,38.266998,37.868000,37.924000,37.924000,44564000
2016-03-18,38.081501,38.106998,37.591000,37.770500,37.770500,56222000
2016-03-21,37.695499,38.167000,37.563499,38.108002,38.108002,28774000
2016-03-22,37.922001,38.250000,37.894001,38.002499,38.002499,22096000
2016-03-23,38.167500,38.269501,37.801498,37.877998,37.877998,24678000
2016-03-24,37.560001,37.877998,37.525002,37.742001,37.742001,31116000
2016-03-28,37.808498,37.915001,37.602001,37.664001,37.664001,21676000
2016-03-29,37.683998,38.359001,37.414501,38.294498,38.294498,40062000
2016-03-30,38.410500,38.865501,38.379002,38.417000,38.417000,40396000
2016-03-31,38.417000,38.453999,37.912498,38.145000,38.145000,32554000
2016-04-01,37.858002,38.501999,37.759998,38.483501,38.483501,31674000
2016-04-04,38.475498,38.622002,38.089500,38.256001,38.256001,26924000
2016-04-05,37.906502,38.143501,37.779999,37.928501,37.928501,24478000
2016-04-06,37.891998,38.421001,37.814999,38.403500,38.403500,25312000
2016-04-07,38.265999,38.467999,37.875000,38.006001,38.006001,25498000
2016-04-08,38.293499,38.356499,37.788502,37.973499,37.973499,23434000
2016-04-11,38.272499,38.361000,37.867001,37.876999,37.876999,31774000
2016-04-12,37.921501,38.245998,37.578499,38.216000,38.216000,27388000
2016-04-13,38.515499,38.787498,38.229500,38.595501,38.595501,35426000
2016-04-14,38.768002,38.980499,38.660999,38.769501,38.769501,26992000
2016-04-15,38.775002,39.046501,38.746498,39.000000,39.000000,31712000
2016-04-18,39.009499,39.427502,38.880501,39.383999,39.383999,33540000
2016-04-19,39.525002,39.547501,38.513500,38.812500,38.812500,43952000
2016-04-20,38.958000,38.983002,38.563499,38.745998,38.745998,34262000
2016-04-21,38.865501,39.084000,38.577499,39.000000,39.000000,77628000
2016-04-22,37.195499,37.695999,36.518501,36.888500,36.888500,140798000
2016-04-25,36.767502,37.243999,36.755001,37.110500,37.110500,49442000
2016-04-26,37.221001,37.279499,36.015999,36.268501,36.268501,55864000
2016-04-27,36.265999,36.357498,35.453999,36.073002,36.073002,66262000
2016-04-28,36.164501,36.463001,35.160000,35.252998,35.252998,62590000
2016-04-29,35.206001,35.605499,35.188999,35.394001,35.394001,58278000
2016-05-02,35.596001,35.770500,35.318001,35.720501,35.720501,33476000
2016-05-03,35.625000,35.668499,35.366501,35.422001,35.422001,38620000
2016-05-04,35.338501,35.752499,35.202499,35.568501,35.568501,34172000
2016-05-05,35.750000,35.877499,35.472500,35.735500,35.735500,29668000
2016-05-06,35.610001,36.299500,35.597500,36.258999,36.258999,39952000
2016-05-09,36.334999,36.714500,36.174999,36.456501,36.456501,38074000
2016-05-10,36.748001,37.000000,36.580502,36.969002,36.969002,32634000
2016-05-11,37.026001,37.040001,36.395000,36.527500,36.527500,29834000
2016-05-12,36.599998,36.768501,36.213501,36.403500,36.403500,27094000
2016-05-13,36.331001,36.564499,36.175499,36.241501,36.241501,25244000
2016-05-16,36.216000,36.633999,36.000000,36.514999,36.514999,22538000
2016-05-17,36.553001,36.792500,35.900002,36.009499,36.009499,33404000
2016-05-18,35.924999,36.278500,35.750999,36.089001,36.089001,32536000
2016-05-19,35.915001,36.025002,35.515499,35.765499,35.765499,30598000
2016-05-20,35.823002,36.384998,35.750500,36.085499,36.085499,34798000
2016-05-23,35.999001,36.174999,35.847000,35.862499,35.862499,24816000
2016-05-24,35.992500,36.709999,35.982498,36.651501,36.651501,37884000
2016-05-25,36.750000,36.994499,36.630001,36.904999,36.904999,32216000
2016-05-26,36.799999,37.055000,36.650002,36.846500,36.846500,27202000
2016-05-27,36.875500,37.395500,36.850498,37.380001,37.380001,34802000
2016-05-31,37.438000,37.674000,37.278500,37.442501,37.442501,42484000
2016-06-01,37.423500,37.568501,37.216999,37.423000,37.423000,20788000
2016-06-02,37.305000,37.365002,36.849998,37.213501,37.213501,33916000
2016-06-03,37.074501,37.074501,36.695499,36.792999,36.792999,24608000
2016-06-06,36.924999,36.924999,36.414501,36.502998,36.502998,29992000
2016-06-07,36.663502,36.835499,36.540001,36.554501,36.554501,24314000
2016-06-08,36.974998,37.190498,36.788502,37.146500,37.146500,32314000
2016-06-09,36.853500,37.196499,36.825001,37.125999,37.125999,19180000
2016-06-10,36.797501,36.981998,36.525501,36.659500,36.659500,29050000
2016-06-13,36.491001,36.950001,36.491001,36.594002,36.594002,23354000
2016-06-14,36.465500,36.799999,36.325001,36.662498,36.662498,26584000
2016-06-15,36.745998,36.857498,36.565498,36.609501,36.609501,23234000
2016-06-16,36.397999,36.519501,35.777000,36.212502,36.212502,45002000
